year,nid,first_name,last_name,gender,job_title,employer,usable_name,ratio
1968,7549,Barry,Bingham  Sr.,M,editor-in-chief and president,Louisville Courier-Journal,Barry,100
1968,7554,Erwin D.,Canham,M,Editor,Christian Science Monitor,Erwin,100
1968,7558,Norman,Chandler,M,President and Publisher,Los Angeles Times,Norman,99
1968,7580,John,Hohenberg,M,"executive secretary, The Pulitzer Prizes",Columbia University,John,100
1968,7588,Grayson,Kirk,M,president,Columbia University,Grayson,98
1968,7599,Ralph,McGill,M,publisher,The Atlanta Constitution,Ralph,100
1968,7603,Kenneth,MacDonald,M,vice president and editor,Des Moines Register and Tribune,Kenneth,100
1968,7605,W.D.,Maxwell,NA,vice president and editor,Chicago Tribune,W.D.,
1968,7608,Paul,Miller,M,president/chairman of the board,"Gannett Newspapers, Inc.",Paul,100
1968,7610,Newbold,Noyes,NA,editor,The Evening Star,Newbold,
1968,7622,Joseph Jr. (III),Pulitzer,M,editor and publisher,St. Louis Post-Dispatch,Joseph,100
1968,7625,James,Reston,M,vice president,The New York Times,James,100
1968,7630,Vermont C.,Royster,M,editor and senior vice president,The Wall Street Journal,Vermont,100
1969,7550,Benjamin,Bradlee,M,executive editor,The Washington Post,Benjamin,100
1969,7554,Erwin D.,Canham,M,Editor,Christian Science Monitor,Erwin,100
1969,7555,Wallace,Caroll,M,editor and publisher,Winston (N.C.) Journal,Wallace,99
1969,7558,Norman,Chandler,M,President and Publisher,Los Angeles Times,Norman,99
1969,7561,Andrew W.,Cordier,M,Acting President,Columbia University,Andrew,100
1969,7565,William B.,Dickinson,M,executive editor,The Philadelphia Bulletin,William,100
1969,7580,John,Hohenberg,M,"executive secretary, The Pulitzer Prizes",Columbia University,John,100
1969,7603,Kenneth,MacDonald,M,vice president and editor,Des Moines Register and Tribune,Kenneth,100
1969,7606,Sylvan,Meyer,M,editor,The Miami News,Sylvan,100
1969,7610,Newbold,Noyes,NA,editor,The Evening Star,Newbold,
1969,7622,Joseph Jr. (III),Pulitzer,M,editor and publisher,St. Louis Post-Dispatch,Joseph,100
1969,7625,James,Reston,M,vice president,The New York Times,James,100
1969,7630,Vermont C.,Royster,M,editor and senior vice president,The Wall Street Journal,Vermont,100
1970,7550,Benjamin,Bradlee,M,executive editor,The Washington Post,Benjamin,100
1970,7554,Erwin D.,Canham,M,Editor,Christian Science Monitor,Erwin,100
1970,7555,Wallace,Caroll,M,editor and publisher,Winston (N.C.) Journal,Wallace,99
1970,7561,Andrew W.,Cordier,M,Acting President,Columbia University,Andrew,100
1970,7565,William B.,Dickinson,M,executive editor,The Philadelphia Bulletin,William,100
1970,7578,Lee,Hills,M,president and executive editor,"Knight Newspapers, Inc.",Lee,77
1970,7580,John,Hohenberg,M,"executive secretary, The Pulitzer Prizes",Columbia University,John,100
1970,7585,Norman E.,Isaacs,M,"Lecturer and Editor-in-Residence, Graduate School of Journalism",Columbia University,Norman,99
1970,7603,Kenneth,MacDonald,M,vice president and editor,Des Moines Register and Tribune,Kenneth,100
1970,7606,Sylvan,Meyer,M,editor,The Miami News,Sylvan,100
1970,7610,Newbold,Noyes,NA,editor,The Evening Star,Newbold,
1970,7622,Joseph Jr. (III),Pulitzer,M,editor and publisher,St. Louis Post-Dispatch,Joseph,100
1970,7625,James,Reston,M,vice president,The New York Times,James,100
1970,7630,Vermont C.,Royster,M,editor and senior vice president,The Wall Street Journal,Vermont,100
1971,7550,Benjamin,Bradlee,M,executive editor,The Washington Post,Benjamin,100
1971,7555,Wallace,Caroll,M,editor and publisher,Winston (N.C.) Journal,Wallace,99
1971,7563,John,Cowles,M,editorial chairman,The Minneapolis Star &amp; Tribune,John,100
1971,7564,Price,Day,M,editor-in-chief,The Baltimore Sun,Price,100
1971,7565,William B.,Dickinson,M,executive editor,The Philadelphia Bulletin,William,100
1971,7566,Robert J.,Donovan,M,associate editor,Los Angeles Times,Robert,100
1971,7578,Lee,Hills,M,president and executive editor,"Knight Newspapers, Inc.",Lee,77
1971,7580,John,Hohenberg,M,"executive secretary, The Pulitzer Prizes",Columbia University,John,100
1971,7600,William J.,McGill,M,president,Columbia University,William,100
1971,7606,Sylvan,Meyer,M,editor,The Miami News,Sylvan,100
1971,7610,Newbold,Noyes,NA,editor,The Evening Star,Newbold,
1971,7622,Joseph Jr. (III),Pulitzer,M,editor and publisher,St. Louis Post-Dispatch,Joseph,100
1971,7625,James,Reston,M,vice president,The New York Times,James,100
1971,7630,Vermont C.,Royster,M,editor and senior vice president,The Wall Street Journal,Vermont,100
