year,nid,first_name,last_name,job_title,employer
1968,7549,Barry,Bingham  Sr.,editor-in-chief and president,Louisville Courier-Journal
1968,7554,Erwin D.,Canham,Editor,Christian Science Monitor
1968,7558,Norman,Chandler,President and Publisher,Los Angeles Times
1968,7580,John,Hohenberg,"executive secretary, The Pulitzer Prizes",Columbia University
1968,7588,Grayson,Kirk,president,Columbia University
1968,7599,Ralph,McGill,publisher,The Atlanta Constitution
1968,7603,Kenneth,MacDonald,vice president and editor,Des Moines Register and Tribune
1968,7605,W.D.,Maxwell,vice president and editor,Chicago Tribune
1968,7608,Paul,Miller,president/chairman of the board,"Gannett Newspapers, Inc."
1968,7610,Newbold,Noyes,editor,The Evening Star
1968,7622,Joseph Jr. (III),Pulitzer,editor and publisher,St. Louis Post-Dispatch
1968,7625,James,Reston,vice president,The New York Times
1968,7630,Vermont C.,Royster,editor and senior vice president,The Wall Street Journal
1969,7550,Benjamin,Bradlee,executive editor,The Washington Post
1969,7554,Erwin D.,Canham,Editor,Christian Science Monitor
1969,7555,Wallace,Caroll,editor and publisher,Winston (N.C.) Journal
1969,7558,Norman,Chandler,President and Publisher,Los Angeles Times
1969,7561,Andrew W.,Cordier,Acting President,Columbia University
1969,7565,William B.,Dickinson,executive editor,The Philadelphia Bulletin
1969,7580,John,Hohenberg,"executive secretary, The Pulitzer Prizes",Columbia University
1969,7603,Kenneth,MacDonald,vice president and editor,Des Moines Register and Tribune
1969,7606,Sylvan,Meyer,editor,The Miami News
1969,7610,Newbold,Noyes,editor,The Evening Star
1969,7622,Joseph Jr. (III),Pulitzer,editor and publisher,St. Louis Post-Dispatch
1969,7625,James,Reston,vice president,The New York Times
1969,7630,Vermont C.,Royster,editor and senior vice president,The Wall Street Journal
1970,7550,Benjamin,Bradlee,executive editor,The Washington Post
1970,7554,Erwin D.,Canham,Editor,Christian Science Monitor
1970,7555,Wallace,Caroll,editor and publisher,Winston (N.C.) Journal
1970,7561,Andrew W.,Cordier,Acting President,Columbia University
1970,7565,William B.,Dickinson,executive editor,The Philadelphia Bulletin
1970,7578,Lee,Hills,president and executive editor,"Knight Newspapers, Inc."
1970,7580,John,Hohenberg,"executive secretary, The Pulitzer Prizes",Columbia University
1970,7585,Norman E.,Isaacs,"Lecturer and Editor-in-Residence, Graduate School of Journalism",Columbia University
1970,7603,Kenneth,MacDonald,vice president and editor,Des Moines Register and Tribune
1970,7606,Sylvan,Meyer,editor,The Miami News
1970,7610,Newbold,Noyes,editor,The Evening Star
1970,7622,Joseph Jr. (III),Pulitzer,editor and publisher,St. Louis Post-Dispatch
1970,7625,James,Reston,vice president,The New York Times
1970,7630,Vermont C.,Royster,editor and senior vice president,The Wall Street Journal
1971,7550,Benjamin,Bradlee,executive editor,The Washington Post
1971,7555,Wallace,Caroll,editor and publisher,Winston (N.C.) Journal
1971,7563,John,Cowles,editorial chairman,The Minneapolis Star &amp; Tribune
1971,7564,Price,Day,editor-in-chief,The Baltimore Sun
1971,7565,William B.,Dickinson,executive editor,The Philadelphia Bulletin
1971,7566,Robert J.,Donovan,associate editor,Los Angeles Times
1971,7578,Lee,Hills,president and executive editor,"Knight Newspapers, Inc."
1971,7580,John,Hohenberg,"executive secretary, The Pulitzer Prizes",Columbia University
1971,7600,William J.,McGill,president,Columbia University
1971,7606,Sylvan,Meyer,editor,The Miami News
1971,7610,Newbold,Noyes,editor,The Evening Star
1971,7622,Joseph Jr. (III),Pulitzer,editor and publisher,St. Louis Post-Dispatch
1971,7625,James,Reston,vice president,The New York Times
1971,7630,Vermont C.,Royster,editor and senior vice president,The Wall Street Journal
1972,7550,Benjamin,Bradlee,executive editor,The Washington Post
1972,7555,Wallace,Caroll,editor and publisher,Winston (N.C.) Journal
1972,7563,John,Cowles,editorial chairman,The Minneapolis Star &amp; Tribune
1972,7564,Price,Day,editor-in-chief,The Baltimore Sun
1972,7565,William B.,Dickinson,executive editor,The Philadelphia Bulletin
1972,7566,Robert J.,Donovan,associate editor,Los Angeles Times
1972,7578,Lee,Hills,president and executive editor,"Knight Newspapers, Inc."
1972,7580,John,Hohenberg,"executive secretary, The Pulitzer Prizes",Columbia University
1972,7600,William J.,McGill,president,Columbia University
1972,7606,Sylvan,Meyer,editor,The Miami News
1972,7610,Newbold,Noyes,editor,The Evening Star
1972,7622,Joseph Jr. (III),Pulitzer,editor and publisher,St. Louis Post-Dispatch
1972,7625,James,Reston,vice president,The New York Times
1972,7630,Vermont C.,Royster,editor and senior vice president,The Wall Street Journal
1973,7550,Benjamin,Bradlee,executive editor,The Washington Post
1973,7555,Wallace,Caroll,editor and publisher,Winston (N.C.) Journal
1973,7563,John,Cowles,editorial chairman,The Minneapolis Star &amp; Tribune
1973,7564,Price,Day,editor-in-chief,The Baltimore Sun
1973,7565,William B.,Dickinson,executive editor,The Philadelphia Bulletin
1973,7566,Robert J.,Donovan,associate editor,Los Angeles Times
1973,7578,Lee,Hills,president and executive editor,"Knight Newspapers, Inc."
1973,7580,John,Hohenberg,"executive secretary, The Pulitzer Prizes",Columbia University
1973,7600,William J.,McGill,president,Columbia University
1973,7606,Sylvan,Meyer,editor,The Miami News
1973,7610,Newbold,Noyes,editor,The Evening Star
1973,7622,Joseph Jr. (III),Pulitzer,editor and publisher,St. Louis Post-Dispatch
1973,7625,James,Reston,vice president,The New York Times
1973,7631,Vermont C.,Royster,contributing editor,The Wall Street Journal
1974,7550,Benjamin,Bradlee,executive editor,The Washington Post
1974,7563,John,Cowles,editorial chairman,The Minneapolis Star &amp; Tribune
1974,7564,Price,Day,editor-in-chief,The Baltimore Sun
1974,7566,Robert J.,Donovan,associate editor,Los Angeles Times
1974,7578,Lee,Hills,president and executive editor,"Knight Newspapers, Inc."
1974,7580,John,Hohenberg,"executive secretary, The Pulitzer Prizes",Columbia University
1974,7600,William J.,McGill,president,Columbia University
1974,7606,Sylvan,Meyer,editor,The Miami News
1974,7610,Newbold,Noyes,editor,The Evening Star
1974,7614,Eugene C.,Patterson,editor and president,St. Petersburg Times
1974,7622,Joseph Jr. (III),Pulitzer,editor and publisher,St. Louis Post-Dispatch
1974,7625,James,Reston,vice president,The New York Times
1974,7631,Vermont C.,Royster,contributing editor,The Wall Street Journal
1974,7635,Thomas,Winship,editor,The Boston Globe
1975,7550,Benjamin,Bradlee,executive editor,The Washington Post
1975,7563,John,Cowles,editorial chairman,The Minneapolis Star &amp; Tribune
1975,7564,Price,Day,editor-in-chief,The Baltimore Sun
1975,7566,Robert J.,Donovan,associate editor,Los Angeles Times
1975,7578,Lee,Hills,president and executive editor,"Knight Newspapers, Inc."
1975,7580,John,Hohenberg,"executive secretary, The Pulitzer Prizes",Columbia University
1975,7589,Clayton,Kirkpatrick,editor and vice president,Chicago Tribune
1975,7600,William J.,McGill,president,Columbia University
1975,7610,Newbold,Noyes,editor,The Evening Star
1975,7614,Eugene C.,Patterson,editor and president,St. Petersburg Times
1975,7622,Joseph Jr. (III),Pulitzer,editor and publisher,St. Louis Post-Dispatch
1975,7625,James,Reston,vice president,The New York Times
1975,7631,Vermont C.,Royster,contributing editor,The Wall Street Journal
1975,7635,Thomas,Winship,editor,The Boston Globe
1977,7547,Elie,Abel,"dean, Graduate School of Journalism",Columbia University
1977,7550,Benjamin,Bradlee,executive editor,The Washington Post
1977,7563,John,Cowles,editorial chairman,The Minneapolis Star &amp; Tribune
1977,7576,Howard H.,Hays,editor and publisher,Riverside (CA) Press-Enterprise
1977,7578,Lee,Hills,president and executive editor,"Knight Newspapers, Inc."
1977,7584,John,Hughes,editor,The Christian Science Monitor
1977,7589,Clayton,Kirkpatrick,editor and vice president,Chicago Tribune
1977,7597,Richard H.,Leonard,editor and vice president,The Milwaukee Journal
1977,7600,William J.,McGill,president,Columbia University
1977,7614,Eugene C.,Patterson,editor and president,St. Petersburg Times
1977,7617,Warren H.,Phillips,president and chief executive officer,Dow Jones &amp; Co.
1977,7622,Joseph Jr. (III),Pulitzer,editor and publisher,St. Louis Post-Dispatch
1977,7626,James,Reston,columnist,The New York Times
1977,7635,Thomas,Winship,editor,The Boston Globe
1977,7723,Richard T.,Baker,"secretary, The Pulitzer Pirze Board","administrator, The Pulitzer Prizes"
1978,7547,Elie,Abel,"dean, Graduate School of Journalism",Columbia University
1978,7550,Benjamin,Bradlee,executive editor,The Washington Post
1978,7563,John,Cowles,editorial chairman,The Minneapolis Star &amp; Tribune
1978,7576,Howard H.,Hays,editor and publisher,Riverside (CA) Press-Enterprise
1978,7578,Lee,Hills,president and executive editor,"Knight Newspapers, Inc."
1978,7584,John,Hughes,editor,The Christian Science Monitor
1978,7589,Clayton,Kirkpatrick,editor and vice president,Chicago Tribune
1978,7597,Richard H.,Leonard,editor and vice president,The Milwaukee Journal
1978,7600,William J.,McGill,president,Columbia University
1978,7614,Eugene C.,Patterson,editor and president,St. Petersburg Times
1978,7617,Warren H.,Phillips,president and chief executive officer,Dow Jones &amp; Co.
1978,7622,Joseph Jr. (III),Pulitzer,editor and publisher,St. Louis Post-Dispatch
1978,7626,James,Reston,columnist,The New York Times
1978,7635,Thomas,Winship,editor,The Boston Globe
1978,7723,Richard T.,Baker,"secretary, The Pulitzer Pirze Board","administrator, The Pulitzer Prizes"
1979,7550,Benjamin,Bradlee,executive editor,The Washington Post
1979,7563,John,Cowles,editorial chairman,The Minneapolis Star &amp; Tribune
1979,7568,Osborn,Elliott,"dean, Graduate School of Journalism",Columbia University
1979,7576,Howard H.,Hays,editor and publisher,Riverside (CA) Press-Enterprise
1979,7578,Lee,Hills,president and executive editor,"Knight Newspapers, Inc."
1979,7584,John,Hughes,editor,The Christian Science Monitor
1979,7590,Clayton,Kirkpatrick,chief executive officer,Chicago Tribune
1979,7597,Richard H.,Leonard,editor and vice president,The Milwaukee Journal
1979,7600,William J.,McGill,president,Columbia University
1979,7618,Warren H.,Phillips,chairman and chief executive officer,Dow Jones &amp; Co.
1979,7622,Joseph Jr. (III),Pulitzer,editor and publisher,St. Louis Post-Dispatch
1979,7626,James,Reston,columnist,The New York Times
1979,7635,Thomas,Winship,editor,The Boston Globe
1979,7669,Eugene C.,Patterson,editor and president,St. Petersburg Times
1979,7723,Richard T.,Baker,"secretary, The Pulitzer Pirze Board","administrator, The Pulitzer Prizes"
1980,7568,Osborn,Elliott,"dean, Graduate School of Journalism",Columbia University
1980,7571,Hanna H.,Gray,president,University of Chicago
1980,7576,Howard H.,Hays,editor and publisher,Riverside (CA) Press-Enterprise
1980,7578,Lee,Hills,president and executive editor,"Knight Newspapers, Inc."
1980,7584,John,Hughes,editor,The Christian Science Monitor
1980,7590,Clayton,Kirkpatrick,chief executive officer,Chicago Tribune
1980,7598,Richard H.,Leonard,editor and senior vice president,The Milwaukee Journal
1980,7600,William J.,McGill,president,Columbia University
1980,7618,Warren H.,Phillips,chairman and chief executive officer,Dow Jones &amp; Co.
1980,7622,Joseph Jr. (III),Pulitzer,editor and publisher,St. Louis Post-Dispatch
1980,7624,William J.,Raspberry,columnist,The Washington Post
1980,7626,James,Reston,columnist,The New York Times
1980,7635,Thomas,Winship,editor,The Boston Globe
1980,7637,Roger W.,Wilkins,senior fellow,Joint Center for Political Studies
1980,7669,Eugene C.,Patterson,editor and president,St. Petersburg Times
1980,7723,Richard T.,Baker,"secretary, The Pulitzer Pirze Board","administrator, The Pulitzer Prizes"
1980,7726,John,"Cowles, Jr.",president,The Minneapolis Star &amp; Tribune Company
1981,7568,Osborn,Elliott,"dean, Graduate School of Journalism",Columbia University
1981,7571,Hanna H.,Gray,president,University of Chicago
1981,7590,Clayton,Kirkpatrick,chief executive officer,Chicago Tribune
1981,7598,Richard H.,Leonard,editor and senior vice president,The Milwaukee Journal
1981,7618,Warren H.,Phillips,chairman and chief executive officer,Dow Jones &amp; Co.
1981,7622,Joseph Jr. (III),Pulitzer,editor and publisher,St. Louis Post-Dispatch
1981,7624,William J.,Raspberry,columnist,The Washington Post
1981,7635,Thomas,Winship,editor,The Boston Globe
1981,7642,Michael I.,Sovern,president,Columbia University
1981,7644,Charlotte,Saikowski,chief editorial writer,The Christian Science Monitor
1981,7669,Eugene C.,Patterson,editor and president,St. Petersburg Times
1981,7719,John,"Cowles, Jr.",president,Minneapolis Star and Tribune Company
1981,7720,Lee,Hills,editorial chairman,"Knight-Ridder Newspapers, Inc."
1981,7721,John,Hughes,president,"Hughes Newspapers, Inc."
1981,7722,Roger W.,Wilkins,associate editor,Washington Star
1981,7723,Richard T.,Baker,"secretary, The Pulitzer Pirze Board","administrator, The Pulitzer Prizes"
1981,7725,Howard H.,Hays,editor and co-publisher,Riverside (CA) Press-Enterprise
1982,7568,Osborn,Elliott,"dean, Graduate School of Journalism",Columbia University
1982,7571,Hanna H.,Gray,president,University of Chicago
1982,7598,Richard H.,Leonard,editor and senior vice president,The Milwaukee Journal
1982,7601,William F.,McIlwain,editor,Arkansas Gazette
1982,7618,Warren H.,Phillips,chairman and chief executive officer,Dow Jones &amp; Co.
1982,7622,Joseph Jr. (III),Pulitzer,editor and publisher,St. Louis Post-Dispatch
1982,7624,William J.,Raspberry,columnist,The Washington Post
1982,7635,Thomas,Winship,editor,The Boston Globe
1982,7637,Roger W.,Wilkins,senior fellow,Joint Center for Political Studies
1982,7642,Michael I.,Sovern,president,Columbia University
1982,7644,Charlotte,Saikowski,chief editorial writer,The Christian Science Monitor
1982,7662,David A.,Laventhol,"publisher and chief executive officer, Newsday","and group vice president, Times Mirror Company"
1982,7667,Robert C.,Christopher,secretary of the Board,The Pulitzer Prizes
1982,7669,Eugene C.,Patterson,editor and president,St. Petersburg Times
1982,7719,John,"Cowles, Jr.",president,Minneapolis Star and Tribune Company
1982,7724,Lee,Hills,editorial chairman emeritus,"Knight-Ridder Newspapers, Inc."
1982,7725,Howard H.,Hays,editor and co-publisher,Riverside (CA) Press-Enterprise
1983,7568,Osborn,Elliott,"dean, Graduate School of Journalism",Columbia University
1983,7571,Hanna H.,Gray,president,University of Chicago
1983,7576,Howard H.,Hays,editor and publisher,Riverside (CA) Press-Enterprise
1983,7598,Richard H.,Leonard,editor and senior vice president,The Milwaukee Journal
1983,7618,Warren H.,Phillips,chairman and chief executive officer,Dow Jones &amp; Co.
1983,7622,Joseph Jr. (III),Pulitzer,editor and publisher,St. Louis Post-Dispatch
1983,7624,William J.,Raspberry,columnist,The Washington Post
1983,7635,Thomas,Winship,editor,The Boston Globe
1983,7637,Roger W.,Wilkins,senior fellow,Joint Center for Political Studies
1983,7642,Michael I.,Sovern,president,Columbia University
1983,7644,Charlotte,Saikowski,chief editorial writer,The Christian Science Monitor
1983,7662,David A.,Laventhol,"publisher and chief executive officer, Newsday","and group vice president, Times Mirror Company"
1983,7668,Michael,Gartner,president and editorial chairman,The Des Moines Register and Tribune
1983,7669,Eugene C.,Patterson,editor and president,St. Petersburg Times
1983,7673,Eugene L.,Roberts,executive editor,The Philadelphia Inquirer
1983,7676,Katherine,Fanning,editor and publisher,Anchorage (Alaska) Daily News
1983,7677,James F.,Hoge,publisher,Chicago Sun-Times
1984,7568,Osborn,Elliott,"dean, Graduate School of Journalism",Columbia University
1984,7571,Hanna H.,Gray,president,University of Chicago
1984,7576,Howard H.,Hays,editor and publisher,Riverside (CA) Press-Enterprise
1984,7598,Richard H.,Leonard,editor and senior vice president,The Milwaukee Journal
1984,7618,Warren H.,Phillips,chairman and chief executive officer,Dow Jones &amp; Co.
1984,7622,Joseph Jr. (III),Pulitzer,editor and publisher,St. Louis Post-Dispatch
1984,7624,William J.,Raspberry,columnist,The Washington Post
1984,7627,Eugene L.,Roberts,executive editor and senior vice president,The Philadelphia Inquirer
1984,7635,Thomas,Winship,editor,The Boston Globe
1984,7637,Roger W.,Wilkins,senior fellow,Joint Center for Political Studies
1984,7642,Michael I.,Sovern,president,Columbia University
1984,7661,James F.,Hoge,publisher,New York Daily News
1984,7662,David A.,Laventhol,"publisher and chief executive officer, Newsday","and group vice president, Times Mirror Company"
1984,7663,C.K.,McClatchy,editor and president,McClatchy Newspapers
1984,7665,Charlotte,Saikowski,"chief, Washington bureau",The Christian Science Monitor
1984,7667,Robert C.,Christopher,secretary of the Board,The Pulitzer Prizes
1984,7668,Michael,Gartner,president and editorial chairman,The Des Moines Register and Tribune
1984,7669,Eugene C.,Patterson,editor and president,St. Petersburg Times
1985,7568,Osborn,Elliott,"dean, Graduate School of Journalism",Columbia University
1985,7571,Hanna H.,Gray,president,University of Chicago
1985,7576,Howard H.,Hays,editor and publisher,Riverside (CA) Press-Enterprise
1985,7598,Richard H.,Leonard,editor and senior vice president,The Milwaukee Journal
1985,7618,Warren H.,Phillips,chairman and chief executive officer,Dow Jones &amp; Co.
1985,7622,Joseph Jr. (III),Pulitzer,editor and publisher,St. Louis Post-Dispatch
1985,7624,William J.,Raspberry,columnist,The Washington Post
1985,7637,Roger W.,Wilkins,senior fellow,Joint Center for Political Studies
1985,7642,Michael I.,Sovern,president,Columbia University
1985,7660,Michael,Gartner,president and editorial chairman,The Des Moines Register
1985,7661,James F.,Hoge,publisher,New York Daily News
1985,7662,David A.,Laventhol,"publisher and chief executive officer, Newsday","and group vice president, Times Mirror Company"
1985,7663,C.K.,McClatchy,editor and president,McClatchy Newspapers
1985,7664,Eugene C.,Patterson,chairman and chief executive officer,St. Petersburg Times
1985,7665,Charlotte,Saikowski,"chief, Washington bureau",The Christian Science Monitor
1985,7666,Thomas,Winship,inaugural fellow,Gannett Center for Media Studies
1985,7667,Robert C.,Christopher,secretary of the Board,The Pulitzer Prizes
1985,7673,Eugene L.,Roberts,executive editor,The Philadelphia Inquirer
1986,7568,Osborn,Elliott,"dean, Graduate School of Journalism",Columbia University
1986,7571,Hanna H.,Gray,president,University of Chicago
1986,7576,Howard H.,Hays,editor and publisher,Riverside (CA) Press-Enterprise
1986,7618,Warren H.,Phillips,chairman and chief executive officer,Dow Jones &amp; Co.
1986,7622,Joseph Jr. (III),Pulitzer,editor and publisher,St. Louis Post-Dispatch
1986,7624,William J.,Raspberry,columnist,The Washington Post
1986,7642,Michael I.,Sovern,president,Columbia University
1986,7645,Russell,Baker,columnist,The New York Times
1986,7661,James F.,Hoge,publisher,New York Daily News
1986,7663,C.K.,McClatchy,editor and president,McClatchy Newspapers
1986,7665,Charlotte,Saikowski,"chief, Washington bureau",The Christian Science Monitor
1986,7667,Robert C.,Christopher,secretary of the Board,The Pulitzer Prizes
1986,7670,Michael,Gartner,general news executive,Gannett Company
1986,7671,David A.,Laventhol,senior vice president,Times Mirror Company
1986,7672,Richard H.,Leonard,associate editor and senior vice president,The Milwaukee Journal
1986,7673,Eugene L.,Roberts,executive editor,The Philadelphia Inquirer
1986,7674,Claude F.,Sitton,editorial director and vice president,The News and Observer and The Raleigh (N.C.) Times
1986,7675,Roger W.,Wilkins,senior fellow,Institute for Policy Studies
1987,7530,Meg,Greenfield,editorial page editor,The Washington Post
1987,7571,Hanna H.,Gray,president,University of Chicago
1987,7618,Warren H.,Phillips,chairman and chief executive officer,Dow Jones &amp; Co.
1987,7645,Russell,Baker,columnist,The New York Times
1987,7657,Robert C.,Maynard,editor and publisher,The Tribune
1987,7661,James F.,Hoge,publisher,New York Daily News
1987,7663,C.K.,McClatchy,editor and president,McClatchy Newspapers
1987,7665,Charlotte,Saikowski,"chief, Washington bureau",The Christian Science Monitor
1987,7667,Robert C.,Christopher,secretary of the Board,The Pulitzer Prizes
1987,7673,Eugene L.,Roberts,executive editor,The Philadelphia Inquirer
1987,7674,Claude F.,Sitton,editorial director and vice president,The News and Observer and The Raleigh (N.C.) Times
1987,7675,Roger W.,Wilkins,senior fellow,Institute for Policy Studies
1987,7685,Frederick T.C.,Yu,"acting dean, Graduate School of Journalism",Columbia University
1987,7686,Michael,Gartner,editor,The Courier-Journal
1987,7687,David A.,Laventhol,president,Times Mirror Company
1987,7688,Burl,Osborne,president and editor,The Dallas Morning News
1987,13739,Michael I.,Sovern,President,Columbia University
1988,7530,Meg,Greenfield,editorial page editor,The Washington Post
1988,7642,Michael I.,Sovern,president,Columbia University
1988,7645,Russell,Baker,columnist,The New York Times
1988,7657,Robert C.,Maynard,editor and publisher,The Tribune
1988,7661,James F.,Hoge,publisher,New York Daily News
1988,7665,Charlotte,Saikowski,"chief, Washington bureau",The Christian Science Monitor
1988,7667,Robert C.,Christopher,secretary of the Board,The Pulitzer Prizes
1988,7674,Claude F.,Sitton,editorial director and vice president,The News and Observer and The Raleigh (N.C.) Times
1988,7685,Frederick T.C.,Yu,"acting dean, Graduate School of Journalism",Columbia University
1988,7687,David A.,Laventhol,president,Times Mirror Company
1988,7688,Burl,Osborne,president and editor,The Dallas Morning News
1988,7689,Michael,Gartner,"general news executive, Gannett Co., Inc., Washington, D.C.","and editor, The Daily Tribune, Ames, Iowa"
1988,7690,C.K.,McClatchy,editor and chairman of the board,McClatchy Newspapers
1988,7691,Eugene L.,Roberts,executive editor,The Philadelphia Inquirer
1988,7692,Howard,Simons,curator,"Nieman Foundation, Harvard University"
1988,7694,Peter R.,Kann,associate publisher,The Wall Street Journal
1988,13831,Roger W.,Wilkins,senior fellow,Institute for Policy Studies
1989,7527,Joan,Konner,"dean, Graduate School of Journalism",Columbia University
1989,7530,Meg,Greenfield,editorial page editor,The Washington Post
1989,7642,Michael I.,Sovern,president,Columbia University
1989,7645,Russell,Baker,columnist,The New York Times
1989,7655,Michael,Gartner,"editor, The Daily Tribune, Ames, Iowa","and president, NBC News"
1989,7657,Robert C.,Maynard,editor and publisher,The Tribune
1989,7661,James F.,Hoge,publisher,New York Daily News
1989,7665,Charlotte,Saikowski,"chief, Washington bureau",The Christian Science Monitor
1989,7667,Robert C.,Christopher,secretary of the Board,The Pulitzer Prizes
1989,7674,Claude F.,Sitton,editorial director and vice president,The News and Observer and The Raleigh (N.C.) Times
1989,7678,Peter R.,Kann,publisher,The Wall Street Journal
1989,7680,Burl,Osborne,president and editor,The Dallas Morning News
1989,7681,Eugene L.,Roberts,executive editor and president,The Philadelphia Inquirer
1989,7692,Howard,Simons,curator,"Nieman Foundation, Harvard University"
1989,7693,Sissela,Bok,associate professor,Brandeis University
1989,7695,Roger W.,Wilkins,"senior fellow, Institute for Policy Studies","and Robinson Professor of History, George Mason University"
1989,13740,David A.,Laventhol,president,Times Mirror Company
1990,7521,James V.,Risser,"director, John S. Knight Fellowships",Stanford University
1990,7527,Joan,Konner,"dean, Graduate School of Journalism",Columbia University
